LAT,LONG,NAMES
70.6225,-53.402,Aaffarsuup Sermia
65.9333,-51.8,Aalasaama
71.2578,-52.0132,Aappaluttukassaap Kangiani Sermikassak
65.6632,-51.5568,Aappilanileralak
68.3254,-51.0073,Akuliarutsip Sermia
64.3833,-49.4779,Akullersuup Sermia
73.0461,-54.8756,Akullikassaap Sermia
68.9167,-50.2,Alanngorliup Sermia
73.1667,-55.05,Alanngorsuup Sermia
76.0912,-68.2097,Appakkooriaq
76.2667,-63.7998,Appaliarsulipaluup Sermia
67.95,-32.45,Apuliliip Apusiia
65.0731,-40.1955,Apuseeq
65.7333,-37,Apuseeq
66.0121,-36.0128,Apuseeq
66.2101,-36.2211,Apuseeq
68.8667,-26.1,Apuseeq Anittangasikkaajuk
68.6164,-33.2201,Apuseeq Qinnilik
63.3833,-41.7167,Apuseerajik
65.8673,-38.377,Apuseerajik
65.9447,-37.4422,Apuseerajik
66.0469,-36.3188,Apuseerajik
66.187,-38.0714,Apuseerajik
66.3176,-35.7902,Apuseerajik
66.382,-37.5439,Apuseerajik
65.8009,-38.2236,Apuseerajik Anngittumanngitteq
64.363,-40.9308,Apuseerserpia
65.8609,-36.2318,Apuseertaa
65.6472,-37.0777,Apusiaajik
65.6551,-36.9815,Apusiaajik Kiatteq
65.9167,-36.55,Apusiiaajik
63.1833,-41.5833,Apusiigajik
63.2926,-41.9168,Apusiigajik
63.3086,-41.2467,Apusiigajik
63.3342,-40.7008,Apusiigajik
63.4596,-41.7496,Apusiigajik
65.9268,-36.5802,Apusiigajik
70.6833,-21.8667,Apusiikajik
71.3298,-25.9038,Apusinigajik
77.9475,-71.8501,Arfalluarfiup Sermia
77.9521,-71.5907,Arfalluarfiup Sermia
70.5316,-52.0627,Assakaat Sermiat
66.0493,-52.4829,Avannarliup Sermia
61.3753,-45.7318,Eqalorutsit Kangilliit Sermiat
61.2765,-46.1501,Eqalorutsit Killiit Sermiat
69.808,-50.1851,Eqip Sermia
76.7578,-67.7971,Equutissaatsut Sermiat
77.88,-70.2973,Ikernup Sermia
74.2307,-55.8275,Ikissuup Sermersua
70.0567,-22.7303,Ilinnigajia
74.4167,-55.9666,Illullip Sermia
61.09,-46.4184,Ilorliit
70.4122,-51.566,Ilusissup Sermia
76.3833,-62.7665,Innaqqissorsuup Oqquani Sermeq
65.9613,-52.0721,Inorersut Sermiat
67.5167,-49.9167,Inuppaat Quuat
66.0607,-51.9042,Ippattaq
76.0667,-60.6333,Issuusarsuit Sermiat
67.1875,-50.1716,Isunnguata Sermia
77.779,-69.4287,Iterlassuup Sermia
77.1602,-69.6024,Itillersuaq
78.1537,-72.6797,Itilliarsuk
65.9833,-52.3,Itillineq
78.0717,-72.4301,Itutterriaq
73.4784,-55.3035,Kakiffaat Sermiat
64.15,-49.75,Kangaasarsuup Sermia
77.2069,-66.0029,Kangerluarsorujussuup Qinngua
71.2493,-51.4707,Kangerluarsuup Sermia
77.6934,-68.5829,Kangerluarsuup Sermia
71.9667,-51.1667,Kangerlussuup Sermersua
71.4588,-51.3101,Kangerlussuup Sermia
65.9357,-38.4601,Kangertivala Apusiiala Qeqqarterpaartaa
65.9866,-38.4496,Kangertsivala Apusiia
64.462,-40.2057,Kangerup Apusiia
64.2966,-49.6102,Kangiata Nunaata Sermia
69.9009,-50.342,Kangilernata Sermia
64.8667,-49.9,Kangilinnguata Sermia
70.7184,-50.6523,Kangilleq
71.7723,-51.4951,Kangilliup Sermia
63.431,-41.9608,Kattilersarpik
66.5209,-36.2361,Kattilersorpia
66.0096,-38.3644,Kattilertarpia
66.4475,-35.723,Kattilertarpia
61.2667,-45.2667,Kiattuut Sermiat
70.0824,-22.4312,Kikkiagajik
76.0655,-65.6468,Kumaat Sermiat
77.4072,-71.8968,Marnit Sermiat
63.4589,-41.815,Miialeqaaq
77.2353,-70.1452,Misuumasoq
77.8108,-70.9613,Naajaat Sermiat
73.25,-55.0833,Naajarsuit Sermiat
61.0373,-46.5812,Naajat Sermiat
76.719,-68.4795,Naajat Sermiat
70.0875,-23.1274,Nakkaagajik Avatteq
70.0993,-23.8397,Nakkaagajik Timerseq
63.0659,-49.5848,Nakkaasorsuaq
71.5015,-51.7892,Nakkala
66.0699,-51.8629,Nakkarajooq
64.6672,-49.8576,Narsap Sermia
76.0941,-67.7789,Nasersorfik
65.628,-38.7084,Nattivit Apusiiat
77.907,-71.0812,Neqip Sermia
66.4436,-36.7381,Nigertiip Apusiia
66.4335,-35.1614,Nigertuluup Kattilertarpia Kiatteq
66.3873,-35.2929,Nigertuluup Kattilertarpia Oqqorteq
71.4193,-51.9238,Nunaarsussuup Kangiatungaani Sermikassak
71.4129,-52.0067,Nunaarsussuup Oqquatungaani Sermikassak
74.6232,-56.2193,Nunatakassaap Sermia
75.989,-59.8575,Nuussuup Sermia
76.2774,-68.5855,Paakitsup Sermersua
60.3098,-43.948,Paarliit Sermiat
77.6991,-67.1759,Paarnarsuit Sermiat
70.9909,-50.9227,Perlerfiup Sermia
76.7229,-68.6739,Pinguarsuit Sermiat
64.3981,-40.6551,Puisertoq
71.15,-51.1667,Qaamarujuup Sermia
61.0088,-46.686,Qalerallit Sermiat
64.4872,-49.5064,Qamanaarsuup Sermia
77.4072,-72.4525,Qangattaat Sermiat
65.6288,-52.0853,Qapiarfiup Sermia
64.1159,-40.607,Qapiarpik
77.636,-68.9673,Qaqortap Sermia
77.5167,-65.6664,Qaqujaarsuup Sermia
77.3403,-71.6945,Qassisallip Sermia
72.036,-54.8766,Qatsinneq
77.6564,-65.9679,Qeqertaarsuusarsuup Sermia
73.5932,-55.5306,Qeqertarsuup Sermia
76.3,-61.7666,Qeqertat Timaanni Sermeq
60.4097,-44.1272,Qinngorliit Sermiat
77.8757,-69.8513,Qinnguata Sermia
70.6746,-53.2073,Qiterlikassaap Sermia
61.3457,-44.9839,Qooqqup Sermia
63.3714,-41.5263,Qoornersaata Apuseertakajaa
77.6025,-67.7419,Quinisut Sermiat
71.3295,-53.0957,Qungulertusup Sermia
71.2667,-53.0333,Qunnertusup Sermia
66.0372,-52.0595,Salliarusiarsuit Sermiat
72.0373,-52.6054,Salliarutsip Sermia
66.05,-52,Salliarutsit Sermiat
65.2869,-50.4289,Saqqap Sermia
68.8667,-50.2833,Saqqarliup Sermia
76.2397,-65.2432,Savissuup Sermia
60.7977,-44.4902,Sermeq
61.3107,-47.8693,Sermeq
63.5576,-50.3999,Sermeq
72.8409,-54.2837,Sermeq
73.941,-55.7679,Sermeq Avanarleq
60.1349,-43.5125,Sermeq Avannarleq
60.2171,-43.337,Sermeq Avannarleq
69.3833,-50.2667,Sermeq Avannarleq
70.0853,-50.2468,Sermeq Avannarleq
70.5454,-50.4896,Sermeq Avannarleq
71.0275,-50.8354,Sermeq Avannarleq
60.9667,-44.9167,Sermeq Kangilleq
60.1166,-43.37,Sermeq Kujalleq
60.2505,-43.2445,Sermeq Kujalleq
69.1833,-49.8,Sermeq Kujalleq
69.996,-50.1596,Sermeq Kujalleq
70.4054,-50.5364,Sermeq Kujalleq
73.8317,-55.5825,Sermeq Kujalleq
60.2352,-43.2644,Sermeq Qeqqarleq
71.3134,-53.0942,Sermeq Qiterleq
70.8268,-50.7627,Sermeq Silarleq
65.3167,-51.8333,Sermeralak
65.6326,-52.6537,Sermeralak
65.863,-52.5227,Sermeralak
66.0152,-52.9947,Sermeralak
65.649,-52.4373,Sermeralak Kangilleq
65.6142,-52.4541,Sermeralak Killeq
69.6939,-52.9475,Sermersuaq
70.4,-51.8333,Sermersuaq
70.6251,-52.8178,Sermersuaq
72.0034,-55.3242,Sermersuaq
75.3167,-57.8333,Sermersuaq
79.4462,-63.3957,Sermersuaq
60.5686,-44.4636,Sermersuasik
69.7836,-54.1239,Sermia
77.0801,-66.2232,Sermiarsupaluk
77.1858,-69.2548,Sermiarsupaluk
77.4312,-70.4834,Sermiarsupaluk
77.5009,-68.7533,Sermiarsupaluk
77.6059,-68.7698,Sermiarsupaluk
77.8378,-71.1813,Sermiarsupaluk
77.2223,-69.7298,Sermiarsussuaq
77.3933,-71.6583,Sermiarsussuaq
77.4494,-70.6344,Sermiarsussuaq
60.3479,-44.1093,Sermikasik
64.4049,-51.1232,Sermikasik
60.1627,-43.7278,Sermikasik Avannarleq
60.1639,-43.7038,Sermikasik Kujalleq
70.3479,-51.355,Sermikassak
70.481,-52.5397,Sermikassak
71.0349,-51.7,Sermikassak
71.3478,-51.8294,Sermikassak
71.5187,-51.6101,Sermikassak
71.5914,-51.7084,Sermikassak
71.6794,-53.2674,Sermikassak
72.1364,-53.8372,Sermikassak
74.1831,-56.7513,Sermikassak
61.6377,-48.1399,Sermiligaarsuup Sermia
60.9845,-46.9863,Sermilik
70.6333,-50.6167,Sermilik
61.095,-46.3171,Serminnguaq
66.3504,-52.5585,Serminnguaq
66.5145,-52.6893,Serminnguaq
70.9359,-52.0836,Serminnguaq
71.1911,-52.7654,Serminnguaq
71.435,-51.4196,Sermip Kujataatungaani Sermikassak
71.0015,-51.4613,Sermipalaaq
75.9394,-66.5167,Sermipaluk
76.0473,-65.5518,Sermipaluk
76.9876,-70.9062,Sermipaluk
77.2065,-70.4837,Sermipaluk
65.9667,-52.5,Sermitaq Ammalortoq
60.5319,-44.4256,Sermitsiaq
66.0167,-52.8167,Sermitsiaq
60.7165,-45.207,Sermitsiaq Kangilleq
65.9281,-52.4308,Sermitsiaq Kangilleq
60.7022,-45.2375,Sermitsiaq Killeq
62.2,-42.35,Sikuijivittip Apusiia
63.454,-41.9659,Singiiaaleqaaq
62.5571,-49.8911,Sioqqap Sermia
60.8598,-44.8764,Siorallip Sermia
77.854,-70.6716,Siorarsuit Sermiat
70.7474,-50.6447,Sisoortartukassak
70.9541,-51.5766,Sisuugajooq
65.9649,-52.5623,Sisuugussiviup Sermia
77.3618,-67.9872,Siunnaatalik
66.5056,-34.8588,Sulussuulip Apusiia
66.0053,-52.4531,Taateraat Sermiat
65.9632,-52.2621,Taateraatsiaat Sermiat
66.0167,-52.2,Taateraatsiaat Sermiat
65.9906,-51.8946,Tapa
71.1435,-51.3648,Tassartooq
71.5663,-52.1744,Tinumanikassaata Sermia
77.7167,-66.9496,Toornaarsulissuup Sermii
77.7315,-66.6444,Toornaarsulissuup Sermii
66.3803,-34.8863,Tuttiliip Kattertarpia
77.7337,-68.7931,Tuttu Gletsjer
74.9618,-57.0355,Tuttulikassaap Sermia
77.7,-66.233,Tuttulipaluup Sermia
77.4199,-72.0338,Ujaassuup Sermia
77.3783,-72.2667,Ujarasussuarsuit Itilliat
76.5797,-67.626,Ullip Sermia
71.8063,-52.3578,Umiammakku Sermiat
70.4754,-51.9816,Umiartorfiup Sermia
71.2362,-51.6242,Umiatsiakassak
77.4323,-72.2135,Upernavissuup Sermia
67.9505,-50.3005,Usulluup Sermia
61.9667,-48.6333,Uukkaasorsuaq
